ep,win,vol,idio,corr,lam1,ac1
2015-08-21,1,0.006719987552659963,0.008207728020979875,0.3389480625349837,0.3909223192651248,-0.07997523088518686
2015-08-21,2,0.005448073419067122,0.007433075826297655,0.3272224670151851,0.38349449206409864,-0.023432980464579294
2015-08-21,3,0.007994405066944961,0.00824151997660386,0.40940824970022444,0.4495563980785089,-0.12285942128778753
2015-08-21,4,0.008005687633556127,0.009607311073991234,0.2922664281484427,0.3579387664686316,0.16881035552979065
2016-06-24,1,0.007544299608226213,0.009590585535545787,0.24351580800625755,0.31021688929992314,-0.022317057425882733
2016-06-24,2,0.006688601422193211,0.010075328666746087,0.24974727078922396,0.29637639076980427,-0.28189888852200473
2016-06-24,3,0.007820483782883792,0.010677939924165259,0.2950214610412979,0.34785511892523596,-0.18004628597971079
2016-06-24,4,0.005671897135516611,0.007892865131184161,0.23838907457824038,0.3183981971538916,0.3030427040617233
2016-09-09,1,0.0061446516946487995,0.009400619087932846,0.2535089026784848,0.3089713589887747,0.265762015080896
2016-09-09,2,0.014483512836113424,0.008736427111303475,0.5117516079177511,0.6070354790573432,0.13927922398293596
2016-09-09,3,0.0044949700701837824,0.009453227607141505,0.11752057087890032,0.19782800298681127,-0.3899302694485397
2016-09-09,4,0.003821956023831092,0.008056985449364482,0.14433495722206452,0.18525972009031105,-0.30033053852567493
2018-02-05,1,0.0027328925452478627,0.010836249234402937,0.04801102214848195,0.12608472210811897,-0.275075594696167
2018-02-05,2,0.004280431600111254,0.010512740834678718,0.11948150581724697,0.20140784121478253,-0.06459019523765411
2018-02-05,3,0.004029585355156365,0.008765856869850592,0.1352224360021428,0.20376386535432342,-0.10651069190161566
2018-02-05,4,0.00730189437703576,0.010989608365131433,0.2570070686326471,0.31115209335873495,0.07591459937116739
