episode,sector,footprint,residual_z,pre_onset
2015-08,Consumer Discretionary,0.5584415584415584,-0.5978096595541732,0.4805194805194805
2015-08,Industrials,0.5625,-0.9537922021861021,0.21875
2015-08,Information Technology,0.5483870967741935,-0.8224134694564357,0.4838709677419355
2015-08,Financials,0.9193548387096774,0.43247975401529104,0.532258064516129
2015-08,Health Care,0.6666666666666666,-0.25258532352503227,0.42105263157894735
2015-08,Consumer Staples,0.6875,0.47154497633517056,0.34375
2015-08,Real Estate,0.96875,3.3082742428905907,0.125
2015-08,Energy,0.7419354838709677,0.5336799255892861,0.2903225806451613
2015-08,Utilities,0.8888888888888888,2.290945287347697,0.0
2015-08,Materials,0.7391304347826086,-0.8119493551648622,0.13043478260869565
2016-06,Consumer Discretionary,0.5324675324675324,0.17487000381275086,0.025974025974025976
2016-06,Industrials,0.671875,0.2768976928306151,0.015625
2016-06,Information Technology,0.7903225806451613,0.6639347841449563,0.016129032258064516
2016-06,Financials,0.9032258064516129,1.377994429426762,0.0
2016-06,Health Care,0.45614035087719296,-0.5725483296687822,0.0
2016-06,Consumer Staples,0.25,-0.12153459553072238,0.0
2016-06,Real Estate,0.21875,-0.9012245128407497,0.0
2016-06,Energy,0.3225806451612903,-0.8333382326283348,0.0
2016-06,Utilities,0.037037037037037035,-1.4619005093345976,0.0
2016-06,Materials,0.7391304347826086,0.2111473202361033,0.0
2016-09,Consumer Discretionary,0.14285714285714285,-0.21124454199955325,0.03896103896103896
2016-09,Industrials,0.34375,0.2909200431983518,0.03125
2016-09,Information Technology,0.0967741935483871,-0.6462781119371372,0.03225806451612903
2016-09,Financials,0.06451612903225806,-2.7944430067573935,0.0
2016-09,Health Care,0.22807017543859648,0.3786847235147894,0.017543859649122806
2016-09,Consumer Staples,0.46875,1.972712190965404,0.0625
2016-09,Real Estate,0.8125,2.8804173666482358,0.0625
2016-09,Energy,0.0967741935483871,-0.28939654012547733,0.0
2016-09,Utilities,0.9629629629629629,3.7106684293725976,0.0
2016-09,Materials,0.34782608695652173,0.15035243549487243,0.0
2018-02,Consumer Discretionary,0.38961038961038963,-0.7708281873881272,0.15584415584415584
2018-02,Industrials,0.609375,0.2687586839004676,0.078125
2018-02,Information Technology,0.5161290322580645,0.2879210702971161,0.14516129032258066
2018-02,Financials,0.8709677419354839,1.0659890603805278,0.08064516129032258
2018-02,Health Care,0.6666666666666666,0.5217474922915912,0.17543859649122806
2018-02,Consumer Staples,0.5625,0.9675390235106462,0.34375
2018-02,Real Estate,0.5625,0.8321909278444309,0.3125
2018-02,Energy,0.22580645161290322,-1.1369511199662907,0.16129032258064516
2018-02,Utilities,0.18518518518518517,0.6976444850626476,0.1111111111111111
2018-02,Materials,0.4782608695652174,-0.5596075058194987,0.17391304347826086
